,"市盈率PE(TTM)
[单位] 倍",,,,,,,,,
时间,全指公用,全指能源,全指材料,全指工业,全指可选,全指消费,全指医药,全指金融,全指信息,全指电信
2019/1/15,19.3421,13.1431,12.4432,18.0026,15.8368,25.1362,24.4777,7.7813,30.9511,36.2287
2019/1/14,19.2166,13.0903,12.3525,17.7481,15.6184,24.1746,23.9868,7.6838,30.3641,35.7529
2019/1/11,19.3941,13.1438,12.3481,17.8443,15.7481,24.4072,24.364,7.7439,30.7338,36.0243
2019/1/10,19.305,13.0627,12.2458,17.7126,15.6651,24.0413,24.3635,7.6955,30.4909,35.4589
2019/1/9,19.4066,13.072,12.2592,17.7333,15.7502,24.0853,24.5201,7.7374,30.4915,35.3099
2019/1/8,19.5489,13.0016,12.1959,17.7619,15.4839,23.8081,24.3215,7.6685,30.33,34.926
2019/1/7,19.3531,12.9309,12.2579,17.7813,15.4852,23.9054,24.3539,7.7064,30.4114,35.052
2019/1/4,19.2299,12.8233,12.0783,17.4489,15.2884,23.6061,24.2267,7.7307,29.618,34.0863
2019/1/3,19.0651,12.6412,11.8381,17.0754,14.9964,23.1767,23.5978,7.5425,28.7675,33.5698
2019/1/2,19.1174,12.598,11.8688,17.0806,15.1298,23.5466,24.0376,7.484,29.1633,34.2984
2018/12/28,19.4225,12.711,11.9739,17.1618,15.3135,23.6594,24.8313,7.6031,29.2759,33.9013
2018/12/27,19.2077,12.8303,11.9236,17.0865,15.2997,23.2253,24.7036,7.5529,29.3963,33.912
2018/12/26,19.1973,13.0598,12.0598,17.2549,15.4302,23.2558,24.9873,7.5619,29.8479,34.147
2018/12/25,19.1139,13.1282,12.1041,17.2549,15.4196,23.4307,25.1117,7.5762,30.0624,34.7189
2018/12/24,19.1808,13.4138,12.2989,17.4715,15.5657,23.5296,25.1233,7.6129,30.243,34.363
2018/12/21,19.2254,13.3309,12.2405,17.3737,15.4727,23.2648,24.6384,7.6243,29.8872,33.437
2018/12/20,19.2165,13.3984,12.3681,17.5083,15.5736,23.491,24.9966,7.7169,29.9958,33.5475
2018/12/19,19.2056,13.439,12.372,17.6052,15.5594,23.4751,25.1485,7.8002,29.8039,33.4626
2018/12/18,19.2189,13.7038,12.5362,17.7793,15.7084,23.8471,25.8071,7.8579,30.2026,33.8332
2018/12/17,19.1884,13.9182,12.6172,17.9099,15.816,23.9542,25.9657,7.9451,30.458,33.9722
2018/12/14,19.2455,13.9472,12.7872,17.9171,15.9427,24.3941,25.9324,7.8906,31.0297,66.6231
2018/12/13,19.4582,14.0376,13.0689,18.2586,16.2477,24.7977,26.6581,8.0122,31.8469,68.4075
2018/12/12,19.2133,13.9083,12.9385,17.9684,16.0129,24.4251,26.4153,7.931,31.4522,67.3585
2018/12/11,19.0609,13.8425,12.9131,17.9092,15.9168,24.2277,26.6209,7.8982,31.5525,68.3849
2018/12/10,19.087,13.9215,12.8328,17.8239,15.772,24.0548,26.4373,7.8673,31.2892,67.0203
2018/12/7,19.1833,13.8718,12.9719,18.0039,16.0103,24.3115,26.9087,7.953,31.5642,66.7632
2018/12/6,19.049,13.8363,12.9308,17.8685,15.9834,24.3683,27.8554,7.9537,31.3999,66.0693
2018/12/5,19.2962,14.0326,13.1293,18.1649,16.2999,24.9467,28.8612,8.0676,32.2788,68.9495
2018/12/4,19.4135,14.1442,13.1737,18.3158,16.4162,24.7409,28.6778,8.1245,32.5592,69.8597
2018/12/3,19.2673,14.1302,13.0695,18.1951,16.3544,24.6658,28.386,8.1169,32.5693,69.663
2018/11/30,18.8499,13.8423,12.6914,17.7314,15.83,23.6598,27.5185,7.9642,31.3337,66.4275
2018/11/29,18.6861,13.721,12.5734,17.5793,15.7904,23.2107,27.2225,7.9093,30.9832,65.7696
2018/11/28,18.9454,13.8524,12.767,17.8559,16.1061,23.3269,27.5802,8.004,31.8924,68.2414
2018/11/27,18.8524,13.7173,12.6495,17.6597,15.8689,22.9254,27.3971,7.9254,31.3677,67.2353
2018/11/26,18.8102,13.773,12.5857,17.6303,15.807,22.9747,27.3456,7.9539,31.1541,65.9074
2018/11/23,18.7693,13.8852,12.6765,17.6235,15.87,23.1095,27.4451,7.9267,31.297,65.1519
2018/11/22,19.2827,14.1235,13.2079,18.211,16.4239,23.5773,28.2111,8.0557,32.5934,67.8553
2018/11/21,19.3539,14.1552,13.2599,18.229,16.3396,23.6231,28.0669,8.1015,32.5547,68.1886
2018/11/20,19.2565,14.3374,13.266,18.1359,16.2951,23.4183,27.6858,8.0831,32.5323,67.8663
